name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing
Alexis Sanchez,Arsenal,28,LW,1,65,4329,264,3,Chile,0,1,0
Mesut Ozil,Arsenal,28,AM,1,50,4395,167,2,Germany,0,1,0
Petr Cech,Arsenal,35,GK,4,7,1529,134,2,Czech Republic,0,1,0
Theo Walcott,Arsenal,28,RW,1,20,2393,122,1,England,0,1,0
Laurent Koscielny,Arsenal,31,CB,3,22,912,121,2,France,0,1,0
Hector Bellerin,Arsenal,22,RB,3,30,1675,119,2,Spain,0,1,0
Olivier Giroud,Arsenal,30,CF,1,22,2230,116,2,France,0,1,0
Nacho Monreal,Arsenal,31,LB,3,13,555,115,2,Spain,0,1,0
Shkodran Mustafi,Arsenal,25,CB,3,30,1877,90,2,Germany,0,1,1
Alex Iwobi,Arsenal,21,LW,1,10,1812,89,4,Nigeria,0,1,0
Granit Xhaka,Arsenal,24,DM,2,35,1815,85,2,Switzerland,0,1,0
Alex Oxlade-Chamberlain,Arsenal,23,RM,2,22,1519,83,1,England,0,1,0
Jack Wilshere,Arsenal,25,CM,2,18,1759,61,1,England,0,1,0
Aaron Ramsey,Arsenal,26,CM,2,35,1040,56,1,Wales,0,1,0
Francis Coquelin,Arsenal,26,DM,2,15,549,52,2,France,0,1,0
Gabriel Paulista,Arsenal,26,CB,3,13,552,45,3,Brazil,0,1,0
Kieran Gibbs,Arsenal,27,LB,3,10,489,45,1,England,0,1,0
Santi Cazorla,Arsenal,32,CM,2,12,943,38,2,Spain,0,1,0
Danny Welbeck,Arsenal,26,CF,1,15,1521,37,1,England,0,1,0
Rob Holding,Arsenal,21,CB,3,7,666,32,1,England,0,1,1
Mohamed Elneny,Arsenal,25,DM,2,10,683,26,4,Egypt,0,1,0
Lucas Perez,Arsenal,28,CF,1,15,2055,20,2,Spain,0,1,1
Emiliano Martinez,Arsenal,24,GK,4,1,372,8,3,Argentina,0,1,0
David Ospina,Arsenal,28,GK,4,7,544,2,3,Colombia,0,1,0
Carl Jenkinson,Arsenal,25,RB,3,5,561,2,1,England,0,1,0
Per Mertesacker,Arsenal,32,CB,3,6,702,1,2,Germany,0,1,0
Sead Kolasinac,Arsenal,24,LB,3,15,618,0,2,Bosnia,1,1,0
Alexandre Lacazette,Arsenal,26,CF,1,40,1183,0,2,France,1,1,0
Joshua King,Bournemouth,25,SS,1,8,997,178,2,Norway,0,2,0
Jermain Defoe,Bournemouth,34,CF,1,5,3213,166,1,England,0,2,0
Charlie Daniels,Bournemouth,30,LB,3,3,185,134,1,England,0,2,0
Artur Boruc,Bournemouth,37,GK,4,1,436,120,2,Poland,0,2,0
Steve Cook,Bournemouth,26,CB,3,5,184,112,1,England,0,2,0
Junior Stanislas,Bournemouth,27,LW,1,4.5,315,107,1,England,0,2,0
Adam Smith,Bournemouth,26,RB,3,5,200,104,1,England,0,2,0
Ryan Fraser,Bournemouth,23,LW,1,5,516,100,2,Scotland,0,2,0
Simon Francis,Bournemouth,32,RB,3,2.5,167,89,1,England,0,2,0
Benik Afobe,Bournemouth,24,CF,1,10,528,88,4,Congo DR,0,2,0
Harry Arter,Bournemouth,27,CM,2,2.5,666,84,2,Ireland,0,2,0
Marc Pugh,Bournemouth,30,LW,1,2,140,64,1,England,0,2,0
Callum Wilson,Bournemouth,25,CF,1,10,337,63,1,England,0,2,0
Nathan Ake,Bournemouth,22,CB,3,8,1274,55,2,Netherlands,0,2,0
Dan Gosling,Bournemouth,27,CM,2,3,184,49,1,England,0,2,0
Andrew Surman,Bournemouth,30,CM,2,2,154,44,1,England,0,2,0
Jordon Ibe,Bournemouth,21,RW,1,8,504,36,1,England,0,2,0
Lewis Cook,Bournemouth,20,CM,2,6,243,17,1,England,0,2,0
Lys Mousset,Bournemouth,21,CF,1,4,131,14,2,France,0,2,0
Adam Federici,Bournemouth,32,GK,4,1,126,8,4,Australia,0,2,0
Max Gradel,Bournemouth,29,LW,1,7,287,8,4,Cote d'Ivoire,0,2,0
Tyrone Mings,Bournemouth,24,CB,3,5,422,4,1,England,0,2,0
Brad Smith,Bournemouth,23,LB,3,2,297,4,4,Australia,0,2,0
Asmir Begovic,Bournemouth,30,GK,4,8,697,2,2,Bosnia,0,2,0
Niki Maenpaa,Brighton+and+Hove,32,GK,4,0.25,103,0,2,Finland,0,3,0
Mathew Ryan,Brighton+and+Hove,25,GK,4,3.5,344,0,4,Australia,0,3,0
Lewis Dunk,Brighton+and+Hove,25,CB,3,5,140,0,1,England,0,3,0
Shane Duffy,Brighton+and+Hove,25,CB,3,5,243,0,2,Ireland,0,3,0
Uwe Hunemeier,Brighton+and+Hove,31,CB,3,1.5,88,0,2,Germany,0,3,0
Bruno,Brighton+and+Hove,36,RB,1,0.5,215,0,3,Argentina,0,3,0
Gaetan Bong,Brighton+and+Hove,29,LB,3,1.5,97,0,4,Cameroon,0,3,0
Liam Rosenior,Brighton+and+Hove,33,RB,3,1,132,0,1,England,0,3,0
Connor Goldson,Brighton+and+Hove,24,CB,3,0.75,52,0,1,England,0,3,0
Markus Suttner,Brighton+and+Hove,30,LB,3,2,23,0,2,Austria,0,3,0
Anthony Knockaert,Brighton+and+Hove,25,RW,1,8,726,0,2,France,0,3,0
Dale Stephens,Brighton+and+Hove,27,CM,2,5,122,0,1,England,0,3,0
Beram Kayal,Brighton+and+Hove,29,CM,2,1.25,167,0,4,Israel,0,3,0
Steve Sidwell,Brighton+and+Hove,34,CM,2,1,461,0,1,England,0,3,0
Solly March,Brighton+and+Hove,23,RM,2,0.5,139,0,1,England,0,3,0
Jiri Skalak,Brighton+and+Hove,25,LW,1,1.5,87,0,2,Czech Republic,0,3,0
Oliver Norwood,Brighton+and+Hove,26,CM,2,2.5,134,0,2,Northern Ireland,0,3,0
Jamie Murphy,Brighton+and+Hove,27,LW,1,1.75,114,0,2,Scotland,0,3,0
Pascal Gross,Brighton+and+Hove,26,CM,2,4,22,0,2,Germany,0,3,0
Glenn Murray,Brighton+and+Hove,33,CF,1,3.5,496,0,1,England,0,3,0
Tomer Hemed,Brighton+and+Hove,30,CF,1,2.5,253,0,4,Israel,0,3,0
Sam Baldock,Brighton+and+Hove,28,CF,1,3,204,0,1,England,0,3,0
Tom Heaton,Burnley,31,GK,4,4,717,149,1,England,0,4,0
Sam Vokes,Burnley,27,CF,1,4.5,290,121,2,Wales,0,4,0
Andre Gray,Burnley,26,CF,1,10,687,108,1,England,0,4,0
Ben Mee,Burnley,27,CB,3,6,166,94,1,England,0,4,0
Stephen Ward,Burnley,31,LB,3,1.5,152,91,2,Ireland,0,4,0
Matthew Lowton,Burnley,28,RB,3,2.5,121,90,1,England,0,4,0
Ashley Barnes,Burnley,27,CF,1,2.5,287,81,1,England,0,4,0
Jeff Hendrick,Burnley,25,CM,2,6,352,76,2,Ireland,0,4,1
Scott Arfield,Burnley,28,LM,2,3,304,69,3,Canada,0,4,0
Steven Defour,Burnley,29,CM,2,6,336,54,2,Belgium,0,4,1
Dean Marney,Burnley,33,CM,2,1,171,51,1,England,0,4,0
Jack Cork,Burnley,28,DM,2,5,204,50,1,England,0,4,0
Johann Berg Gudmundsson,Burnley,26,RW,1,2.5,180,47,2,Iceland,0,4,1
Robbie Brady,Burnley,25,LM,2,10,614,39,2,Ireland,0,4,0
James Tarkowski,Burnley,24,CB,3,2,116,23,1,England,0,4,0
Ashley Westwood,Burnley,27,DM,2,4,161,13,1,England,0,4,0
Kevin Long,Burnley,26,CB,3,0.5,68,3,2,Ireland,0,4,0
Matthew Taylor,Burnley,35,LM,2,0.25,255,0,1,England,0,4,0
Eden Hazard,Chelsea,26,LW,1,75,4220,224,2,Belgium,0,5,0
Diego Costa,Chelsea,28,CF,1,50,4454,196,2,Spain,0,5,0
Gary Cahill,Chelsea,31,CB,3,16,1420,178,1,England,0,5,0
Marcos Alonso Mendoza,Chelsea,26,LB,3,25,3069,177,2,Spain,0,5,1
Cesar Azpilicueta,Chelsea,27,RB,3,30,869,170,2,Spain,0,5,0
Pedro,Chelsea,29,RW,1,28,1500,162,2,Spain,0,5,0
Thibaut Courtois,Chelsea,25,GK,4,40,1260,141,2,Belgium,0,5,0
David Luiz,Chelsea,30,CB,3,30,2745,132,3,Brazil,0,5,0
Cesc Fabregas,Chelsea,30,CM,2,35,2378,121,2,Spain,0,5,0
Willian,Chelsea,28,RW,1,32,1165,114,3,Brazil,0,5,0
Victor Moses,Chelsea,26,RM,2,18,2537,105,4,Nigeria,0,5,0
Nemanja Matic,Chelsea,28,DM,2,35,892,105,2,Serbia,0,5,0
N%27Golo Kante,Chelsea,26,DM,2,50,4042,83,2,France,0,5,1
Willy Caballero,Chelsea,35,GK,4,1.5,542,64,3,Argentina,0,5,0
Michy Batshuayi,Chelsea,23,CF,1,25,1162,48,2,Belgium,0,5,1
Kurt Zouma,Chelsea,22,CB,3,15,723,15,2,France,0,5,0
Kenedy,Chelsea,21,LB,3,7,566,3,3,Brazil,0,5,0
Eduardo Carvalho,Chelsea,34,LW,1,0.05,467,0,2,Portugal,0,5,1
Antonio Rudiger,Chelsea,24,CB,3,25,454,0,2,Germany,1,5,0
Tiemoue Bakayoko,Chelsea,22,DM,2,16,1011,0,2,France,1,5,0
Wilfried Zaha,Crystal+Palace,24,RW,1,18,1709,149,4,Cote d'Ivoire,0,6,0
Christian Benteke,Crystal+Palace,26,CF,1,28,1661,136,2,Belgium,0,6,1
Andros Townsend,Crystal+Palace,26,RW,1,12,693,116,1,England,0,6,1
Patrick van Aanholt,Crystal+Palace,26,LB,3,9,524,98,2,Netherlands,0,6,0
James McArthur,Crystal+Palace,29,CM,2,7,216,93,2,Scotland,0,6,0
Wayne Hennessey,Crystal+Palace,30,GK,4,4,242,92,2,Wales,0,6,0
Jason Puncheon,Crystal+Palace,31,AM,1,5.5,427,92,1,England,0,6,0
Yohan Cabaye,Crystal+Palace,31,CM,2,15,456,91,2,France,0,6,0
Joel Ward,Crystal+Palace,27,RB,3,5,154,86,1,England,0,6,0
James Tomkins,Crystal+Palace,28,CB,3,7,208,75,1,England,0,6,1
Scott Dann,Crystal+Palace,30,CB,3,5,217,61,1,England,0,6,0
Damien Delaney,Crystal+Palace,36,CB,3,1,195,51,2,Ireland,0,6,0
Jeffrey Schlupp,Crystal+Palace,24,LB,3,8,385,47,4,Ghana,0,6,0
Martin Kelly,Crystal+Palace,27,RB,3,3,210,46,1,England,0,6,0
Luka Milivojevic,Crystal+Palace,26,DM,2,10,407,42,2,Serbia,0,6,0
Lee Chung-yong,Crystal+Palace,29,RW,1,1.5,327,24,4,South Korea,0,6,0
Connor Wickham,Crystal+Palace,24,CF,1,6,248,18,1,England,0,6,0
Bakary Sako,Crystal+Palace,29,LW,1,6,226,7,4,Mali,0,6,0
Pape Souare,Crystal+Palace,27,LB,3,6,186,6,4,Senegal,0,6,0
Ruben Loftus-Cheek,Crystal+Palace,21,CM,2,5,685,6,1,England,0,6,0
Julian Speroni,Crystal+Palace,38,GK,4,0.25,188,0,3,Argentina,0,6,0
Ross Barkley,Everton,23,AM,1,25,1413,144,1,England,0,7,0
Leighton Baines,Everton,32,LB,3,12,491,135,1,England,0,7,0
Seamus Coleman,Everton,28,RB,3,17,843,133,2,Ireland,0,7,0
Ashley Williams,Everton,32,CB,3,8,599,127,2,Wales,0,7,1
Kevin Mirallas,Everton,29,RW,1,13,417,119,2,Belgium,0,7,0
Michael Keane,Everton,24,CB,3,18,1362,113,1,England,0,7,0
Phil Jagielka,Everton,34,CB,3,2,566,104,1,England,0,7,0
Jordan Pickford,Everton,23,GK,4,15,719,102,1,England,0,7,0
Joel Robles,Everton,27,GK,4,5,304,89,2,Spain,0,7,0
Idrissa Gueye,Everton,27,CM,2,18,705,80,4,Senegal,0,7,1
Wayne Rooney,Everton,31,SS,1,15,7664,76,1,England,0,7,0
Ramiro Funes Mori,Everton,26,CB,3,12,460,69,3,Argentina,0,7,0
Maarten Stekelenburg,Everton,34,GK,4,2,623,68,2,Netherlands,0,7,1
Gareth Barry,Everton,36,DM,2,1.5,1331,68,1,England,0,7,0
Tom Davies,Everton,19,CM,2,8,1354,63,1,England,0,7,0
Mason Holgate,Everton,20,CB,3,5,344,54,1,England,0,7,0
Yannick Bolasie,Everton,28,LW,1,20,896,45,4,Congo DR,0,7,1
Morgan Schneiderlin,Everton,27,DM,2,22,1272,37,2,France,0,7,1
Cuco Martina,Everton,27,RB,3,2,232,31,2,Curacao,0,7,0
James McCarthy,Everton,26,CM,2,15,306,23,2,Ireland,0,7,0
Aaron Lennon,Everton,30,RW,1,5,504,22,1,England,0,7,0
Dominic Calvert-Lewin,Everton,20,SS,1,3.5,343,17,1,England,0,7,1
Ademola Lookman,Everton,19,LW,1,5,1387,16,1,England,0,7,0
Matthew Pennington,Everton,22,CB,3,0.5,219,9,1,England,0,7,0
Jonjoe Kenny,Everton,20,RB,3,0.25,53,1,1,England,0,7,0
Muhamed Besic,Everton,24,DM,2,5,238,0,2,Germany,0,7,0
Davy Klaassen,Everton,24,AM,1,18,428,0,2,Netherlands,1,7,0
Sandro Ramirez,Everton,22,CF,1,10,373,0,2,Spain,1,7,0
Joel Coleman,Huddersfield,21,GK,4,0.25,36,0,1,England,0,8,0
Jonas Lossl,Huddersfield,28,GK,4,1.5,56,0,2,Denmark,0,8,0
Christopher Schindler,Huddersfield,27,CB,3,2,73,0,2,Germany,0,8,0
Chris Lowe,Huddersfield,28,LB,3,1.5,84,0,2,Germany,0,8,0
Tommy Smith,Huddersfield,25,RB,3,2,65,0,1,England,0,8,0
Michael Hefele,Huddersfield,26,CB,3,1.5,116,0,2,Germany,0,8,0
Martin Cranie,Huddersfield,30,CB,3,0.5,67,0,1,England,0,8,0
Jon Gorenc Stankovic,Huddersfield,21,CB,3,0.5,83,0,2,Slovenia,0,8,0
Mark Hudson,Huddersfield,35,CB,3,0.5,70,0,1,England,0,8,0
Mathias Jorgensen,Huddersfield,27,CB,3,2.5,107,0,2,Denmark,0,8,0
Scott Malone,Huddersfield,26,LB,3,0.75,81,0,1,England,0,8,0
Aaron Mooy,Huddersfield,26,CM,2,5,588,0,4,Australia,0,8,0
Rajiv van La Parra,Huddersfield,26,LW,1,2,174,0,2,Netherlands,0,8,0
Jonathan Hogg,Huddersfield,28,CM,2,1,75,0,1,England,0,8,0
Philip Billing,Huddersfield,21,CM,2,0.5,157,0,2,Denmark,0,8,0
Joe Lolley,Huddersfield,24,RW,1,0.25,63,0,1,England,0,8,0
Jack Payne,Huddersfield,25,CM,2,0.25,81,0,1,England,0,8,0
Dean Whitehead,Huddersfield,35,CM,2,0.25,161,0,1,England,0,8,0
Harry Bunn,Huddersfield,24,LW,1,0.5,85,0,1,England,0,8,0
Sean Scannell,Huddersfield,26,RW,1,0.5,85,0,2,Ireland,0,8,0
Elias Kachunga,Huddersfield,25,RW,1,3.5,231,0,4,Congo DR,0,8,0
Tom Ince,Huddersfield,25,RW,1,7,512,0,1,England,0,8,0
Kasey Palmer,Huddersfield,20,AM,1,0.75,220,0,1,England,0,8,0
Andy Williams,Huddersfield,26,CB,3,0.65,3,0,3,Trinidad and Tobago,0,8,0
Nahki Wells,Huddersfield,27,CF,1,5,247,0,3,Bermuda,0,8,0
Collin Quaner,Huddersfield,26,CF,1,1,126,0,2,Germany,0,8,0
Laurent Depoitre,Huddersfield,28,CF,1,3,212,0,2,Belgium,0,8,0
Steve Mounie,Huddersfield,22,CF,1,5.5,56,0,NA,Benin,0,8,0
Jamie Vardy,Leicester+City,30,CF,1,15,2988,161,1,England,0,9,0
Riyad Mahrez,Leicester+City,26,RW,1,30,1753,120,4,Algeria,0,9,0
Kasper Schmeichel,Leicester+City,30,GK,4,10,1601,109,2,Denmark,0,9,0
Christian Fuchs,Leicester+City,31,LB,3,6,417,104,2,Austria,0,9,0
Marc Albrighton,Leicester+City,27,LM,2,6,347,95,1,England,0,9,0
Robert Huth,Leicester+City,32,CB,3,5,748,88,2,Germany,0,9,0
Danny Simpson,Leicester+City,30,RB,3,5,428,85,1,England,0,9,0
Islam Slimani,Leicester+City,29,CF,1,25,1581,83,4,Algeria,0,9,1
Harry Maguire,Leicester+City,24,CB,3,8,488,71,1,England,0,9,0
Danny Drinkwater,Leicester+City,27,CM,2,9,714,69,1,England,0,9,0
Wes Morgan,Leicester+City,33,CB,3,3,649,63,3,Jamaica,0,9,0
Shinji Okazaki,Leicester+City,31,CF,1,7,607,63,4,Japan,0,9,0
Wilfred Ndidi,Leicester+City,20,DM,2,14,821,59,4,Nigeria,0,9,1
Demarai Gray,Leicester+City,21,LW,1,9,593,58,1,England,0,9,0
Daniel Amartey,Leicester+City,22,DM,2,5,356,53,4,Ghana,0,9,0
Andy King,Leicester+City,28,CM,2,3,327,41,2,Wales,0,9,0
Ahmed Musa,Leicester+City,24,CF,1,17,742,39,4,Nigeria,0,9,1
Yohan Benalouane,Leicester+City,30,CB,3,1,305,27,4,Tunisia,0,9,0
Leonardo Ulloa,Leicester+City,30,CF,1,6,472,24,2,Argentina,0,9,0
Ben Chilwell,Leicester+City,20,LB,3,2.5,288,19,1,England,0,9,0
Nampalys Mendy,Leicester+City,25,DM,2,10,325,6,2,France,0,9,1
Ben Hamer,Leicester+City,29,GK,4,0.5,132,0,1,England,0,9,0
Molla Wague,Leicester+City,26,CB,3,1.5,171,0,4,Mali,0,9,0
Vicente Iborra,Leicester+City,29,DM,2,9,253,0,2,Spain,1,9,0
Roberto Firmino,Liverpool,25,SS,1,38,2196,180,3,Brazil,0,10,0
Philippe Coutinho,Liverpool,25,AM,1,45,2958,171,3,Brazil,0,10,0
Sadio Mane,Liverpool,25,LW,1,40,3219,156,4,Senegal,0,10,1
Georginio Wijnaldum,Liverpool,26,CM,2,28,1280,149,2,Netherlands,0,10,1
James Milner,Liverpool,31,CM,2,12,1824,139,1,England,0,10,0
Adam Lallana,Liverpool,29,AM,1,25,1808,139,1,England,0,10,0
Nathaniel Clyne,Liverpool,26,RB,3,21,602,129,1,England,0,10,0
Simon Mignolet,Liverpool,29,GK,4,12,721,110,2,Belgium,0,10,0
Dejan Lovren,Liverpool,28,CB,3,17,708,106,2,Croatia,0,10,0
Emre Can,Liverpool,23,DM,2,15,1253,104,2,Germany,0,10,0
Joel Matip,Liverpool,25,CB,3,25,1313,97,2,Cameroon,0,10,1
Divock Origi,Liverpool,22,CF,1,12,1092,96,2,Belgium,0,10,0
Jordan Henderson,Liverpool,27,CM,2,28,1236,73,1,England,0,10,0
Daniel Sturridge,Liverpool,27,CF,1,20,2042,54,1,England,0,10,0
Lucas Leiva,Liverpool,30,DM,2,7,998,47,3,Brazil,0,10,0
Ragnar Klavan,Liverpool,31,CB,3,3.5,875,43,2,Estonia,0,10,1
Mamadou Sakho,Liverpool,27,CB,3,15,934,35,2,France,0,10,0
Loris Karius,Liverpool,24,GK,4,8,1255,32,2,Germany,0,10,0
Trent Alexander-Arnold,Liverpool,18,RB,3,1.5,327,15,2,England,0,10,0
